booking_id,passenger_key_hash,flight_id,booking_date,status,seat_number,status_valid_flag
B1111,dc8011c04d95da8562c51fdfb92dc4d19e6f865742bc5f706bbb420e4da47fcc,UK134,2025-12-25 11:37:36.951,CANCELLED,34A,True
B1112,79bfd5dc59b585de98a96bc123673a45df114171ea2f649f20cdb96008c54d3e,6F152,2025-10-02 11:37:36.951,PENDING,27A,True
B1113,7f9551c5b1ad772e43188cea0c2a7b521c53437c938aa9d0dc97c84254f0fe20,SJ089,2025-11-23 11:37:36.951,CONFIRMED,5A,True
B1114,3becf5df47bdff1dce63de3a38197a771e8c19aa38bef135b1a459eec32e1105,6F123,2025-09-26 11:37:36.951,CANCELLED,2E,True
B1115,29cf2d89c3589449b2bdfaefe119244ad02151ae58570028b87fba3e1219c6bb,AI025,2025-08-23 11:37:36.951,CONFIRMED,10A,True
B1116,2300988a2e179648451303b5288c8a4e2de25daf44d18e59b0f864cb00f24f4e,6F030,2025-12-05 11:37:36.951,CONFIRMED,19B,True
B1117,f6d76e21aea6b49de13c55f6d86f3cd1e23d2c30760b76b2896ba7bc18ee7707,SJ222,2025-09-02 11:37:36.951,CONFIRMED,28F,True
B1118,807002ae2042fbff29e4ab3d8409ae7dd581793a94d252a8fee785cd64d8e024,UK109,2026-04-03 11:37:36.951,CONFIRMED,34B,True
B1119,9a57d7ee1548ab67caf8771c78d3e18274a374f4171abf9c1204676920d8051c,SJ117,2025-11-25 11:37:36.951,CANCELLED,21F,True
B1120,3d686e842d77285c197c6e50a56b5426bbb37bfc344fe8b5849ff21cf82dc6c7,SJ142,2025-08-12 11:37:36.951,CONFIRMED,12D,True
B1121,e7c39412523d8efa559edb6f28acdd154dbe16ba18f8dab0afeea3e4ab42e006,SJ142,2025-06-01 11:37:36.951,PENDING,17C,True
B1122,c6a585d0daae307ac216d4febb8665d87f55a5e48b317045c1722955ad85e9fd,AI030,2025-05-02 11:37:36.951,CANCELLED,20B,True
B1123,42a4adc12f6a6b629595cdbc85b85f75d0fefab7332ae95ad33ed9b6b9d44402,6F097,2025-09-23 11:37:36.951,CONFIRMED,8A,True
B1124,307ef25359a956e71b2b17949d67638d87854f2a69604f7c7fb24c7c745e0337,6F129,2025-05-23 11:37:36.951,CANCELLED,5C,True
B1125,0d1b4b4a2c0c15d93af2d65914da489e3b953c3c4619cba1b2ea1109bb9aff73,6F181,2026-01-15 11:37:36.951,PENDING,27E,True
B1126,c7ccf6a417208a4d93399733f39ed59bee1b97558dd765c7045aa071123b4d68,AI072,2025-10-20 11:37:36.951,CONFIRMED,10E,True
B1127,0569019098c7cf5a8cc47f9221abee18721c6e392b0b09c277db7e11ed6d7e4b,SJ154,2025-06-29 11:37:36.951,PENDING,2E,True
B1128,fb8fab599298ca767005a6c1027c660a1c2d3ffd621b3543c2e094475a60f63a,AI031,2026-04-08 11:37:36.951,CONFIRMED,10D,True
B1129,fc778a3b0a051b6a7dbac813a765eb1cbedf5c6b026fedc4f1624235fa41fa83,AI031,2025-09-18 11:37:36.951,PENDING,26F,True
B1130,cd95778e61fcb9bcde5bdebaf1a7db91c7f48d554f2f23b84bcef9a11cd46497,6F158,2025-12-26 11:37:36.951,CONFIRMED,34E,True
B1131,0e699f0e06c390e586417eb020e3a0d80b33e618c62a55599068d510c850b9e3,6F184,2025-06-16 11:37:36.951,CANCELLED,1C,True
B1132,c4373c1b39af67a844b4f0fcb9af4efccc01f7d47ee13a02e81537fb003c3306,UK141,2025-06-20 11:37:36.951,CONFIRMED,10D,True
B1133,066e3f7ad551ebc85b6358a7f4ce340b5ef470aec1821bdc38353d6f5fa81165,6F168,2025-12-29 11:37:36.951,CANCELLED,23D,True
B1134,9585a6fe9fdeb56c2583cf346135f842c524d064c6d136b701ea94cc32f44710,6F051,2025-07-28 11:37:36.951,CONFIRMED,34C,True
B1135,904f296ff2139cc87152e21d5022bd0862257705e9e7a7ef44057c6aad3e3953,6F047,2025-12-02 11:37:36.951,CONFIRMED,20E,True
B1136,63ac4a24e48cfe89f1218e7981373d1f1de2eac52e71435d035341619ce8ab8d,UK156,2025-10-26 11:37:36.951,PENDING,28E,True
B1137,05eea77c075ff7329e9eb383df908cc03d91db1aad14d9e93f0e534a08c2d972,AI094,2025-09-01 11:37:36.951,PENDING,13E,True
B1138,f5e5a48665b27bc28a31b48c6ff38c2db7804a6ec70eb016e57beb4c196a6c1f,AI038,2025-07-14 11:37:36.951,PENDING,6C,True
B1139,304f4d73814c7a525c525b9a96053ef9d930c17a0f3b9888f8d7c5242bf8daec,6F255,2026-01-19 11:37:36.951,CONFIRMED,29F,True
B1140,bec7829794a0ab001d975cec779937e8d9a7b70e6edf2d2b2cad5a20f10ed2bf,SJ025,2026-01-23 11:37:36.951,CONFIRMED,29D,True
B1141,3f99f09b8067da26accb576db3f2755d59455a28748eeec02fdadd515a928c70,SJ185,2025-10-28 11:37:36.951,CONFIRMED,9C,True
B1142,7eaf6cc62251837e276f3b2ba719536902af6aa6480014bb7a13b3f383e6f9d7,6F259,2026-01-21 11:37:36.951,CANCELLED,5C,True
B1143,5a9ab6e12ec4e942348d18b895371cf4040979263f639ba05335af4e3c09d3fd,6F073,2026-04-07 11:37:36.951,CANCELLED,15A,True
B1144,6c78ca347eb017af2b5b06207cb1dbb8974d9429ed43b397a5e91b4af78ada20,AI091,2025-09-26 11:37:36.951,CONFIRMED,6D,True
B1145,6db11620a17d5f39a6f4f347ad59e54eab82425e10237ae79bae9fc7f0c73224,6F191,2025-08-23 11:37:36.951,PENDING,15D,True
B1146,02ea7959f1cef0cf60aa1b07edf10b7c4499f2c2b318683470b865f437352fc0,UK228,2025-08-30 11:37:36.951,PENDING,25A,True
B1147,d53bf95834e2706661adf58091b3c62dd790be99457254b9d928c721b1549304,6F146,2026-03-25 11:37:36.951,PENDING,11E,True
B1148,da273dc1a032c58510a0f5c40b7fb445a2c5d7764c0948ba9af184c805cbed4f,6F068,2025-10-13 11:37:36.951,CONFIRMED,19A,True
B1149,5c36f970d3364a3817dc5302d76c0b162dc93001f9c4ad8994b7995b4db046aa,SJ218,2026-01-08 11:37:36.951,PENDING,30F,True
B1150,664e6259d692132aaef87baf236f845816865482d3f2a11793222f291385e249,UK083,2025-09-25 11:37:36.951,CONFIRMED,12A,True
B1151,66f71a9732d47fbfc6639c3ffda1c4660aca8ce048f535c2c8b1cade97bbfcb5,SJ007,2026-01-18 11:37:36.951,CANCELLED,29B,True
B1152,61d0f276b7160f04f92ce7d852f04296612a23d85e104124985a1e3f1afb6a25,AI077,2025-08-14 11:37:36.951,PENDING,27A,True
B1153,b4af8df90f7c139522006c2df3055f56b5449990959736ecce2b7f2f0b9f52cb,UK017,2025-12-20 11:37:36.951,CANCELLED,8D,True
B1154,0a7fd94c6462ec540a915ec379638303b93d6dfc232cab50baaa2fd78eab14ee,6F229,2026-02-17 11:37:36.951,PENDING,24A,True
B1155,88f7f4237aee189269417ac81c4f97a2e3ac25262ca5a762f39b765660e4cc46,6F074,2025-10-08 11:37:36.951,CONFIRMED,6D,True
B1156,79ad6f8cc65209e03d6bd64d676dd8c72064c7617d7c902e0df69b282fd0e97b,SJ088,2026-03-25 11:37:36.951,CONFIRMED,5E,True
B1157,299bf2b46c2d2014c31c4e663242cf1252c7b080d88cce3b4a92f83b74d0b156,SJ167,2025-06-28 11:37:36.951,CONFIRMED,18B,True
B1158,070c4bb71150965a2eb0e9679d4faa62494d101fb20b461e34dcec7b51ea5414,6F234,2025-07-20 11:37:36.951,CONFIRMED,22A,True
B1159,8d7eeb17523b13f7485456164878aa94f6890cdd512f8fbac513f41b96df7037,UK071,2025-12-10 11:37:36.951,PENDING,22F,True
B1160,841d6ff4bf515c14ff1194d854071d819eefe7528f5a4bee5df999ccd6cb44e6,AI178,2025-11-21 11:37:36.951,CANCELLED,29A,True
B1161,0bca6c5dd27f6abc1b172f53c4a98961b47e5e3518cffe6d4b9c53693deb5008,UK104,2025-11-14 11:37:36.951,CONFIRMED,12A,True
B1162,8fe4a9cee575ed16d908c362cb41ce216bda4d23211d948dbf7c837197a1dc9d,AI146,2025-04-22 11:37:36.951,INVALID,32D,False
B1163,901331ea90015d4bc0291766f4f107a0d34cb5ed3825fec0e3dbd03717fde73a,SJ235,2025-11-10 11:37:36.951,CANCELLED,13D,True
B1164,031a60e86398d41d18e79ffcedc168a3e137eec8e808ff3a26712c897d0c854a,6F209,2025-04-24 11:37:36.951,CONFIRMED,24A,True
B1165,d4b256a73ebbf0e5b9719293cd5872b7a42284f944c914c2bd3b5a53a3ea41fd,AI129,2025-08-20 11:37:36.951,CANCELLED,2F,True
B1166,579c05dbb5c7c7fac1b3b612ec1481807fecb721127aaf95214a8afa6555856b,SJ141,2026-01-23 11:37:36.951,CONFIRMED,34D,True
B1167,593ce4cd123b30ba32fad0c71fb333efde01434bb05f23ed38d0fc53ecb5ddaf,SJ018,2026-02-02 11:37:36.951,CANCELLED,9F,True
B1168,ee3da88980fa26dbadf8dc499b411a800bfc6c8773ee8629c6e2cf19ae2a84bc,UK120,2025-10-14 11:37:36.951,CANCELLED,11C,True
B1169,95edae0cf7e42aad8885909c537182f636aeabc79386efbbfd48ab71b16f1d99,AI078,2025-11-15 11:37:36.951,CONFIRMED,11E,True
B1170,e28d79bc75f4ce24f9fb6af4dace2150680aaaaebf60bd778f49c587840f3e9a,AI079,2025-09-14 11:37:36.951,PENDING,15E,True
B1171,5e19490d12047195ffdd39cb92fc81aba599130df8ef5debe7f3e5c2245c27c7,UK087,2025-09-19 11:37:36.951,CANCELLED,21A,True
B1172,d4ccbfadbe630f46c135d0d8702ba98455bd03cd6293144ab3c60b8ada5cc378,UK133,2026-01-17 11:37:36.951,CONFIRMED,8F,True
B1173,3f6a683ad204b51fc2e60f68bb5a7c0b55a743193570ca253ca7ddb9756d5c25,AI222,2025-06-01 11:37:36.951,CANCELLED,22E,True
B1174,977c3154ed97450c76e731cfa64c1b4071ddd7001d11e16f6425026abd815d64,6F049,2026-04-12 11:37:36.951,CANCELLED,19D,True
B1175,f1e921ffaf861ea372dd545d469e4e291357c01134a401015942fe6a92883e31,6F105,2026-01-29 11:37:36.951,PENDING,27D,True
B1176,09f49ca188dacbc0b7b44c0ec60a2c27b3010f6f769e36ca268f15943025cbad,SJ226,2025-04-17 11:37:36.951,CANCELLED,7C,True
B1177,8debcd3aea9b924582f8e7731f6da70c6bc861464f1273b06eb3bf0c8e627e97,SJ227,2025-07-29 11:37:36.951,CANCELLED,34D,True
