booking_id,flight_id,booking_date,status,status_valid_flag
B1153,UK017,2025-12-20 11:37:36.951,CANCELLED,True
B1156,SJ088,2026-03-25 11:37:36.951,CONFIRMED,True
B1157,SJ167,2025-06-28 11:37:36.951,CONFIRMED,True
B1159,UK071,2025-12-10 11:37:36.951,PENDING,True
B1160,AI178,2025-11-21 11:37:36.951,CANCELLED,True
B1161,UK104,2025-11-14 11:37:36.951,CONFIRMED,True
B1163,SJ235,2025-11-10 11:37:36.951,CANCELLED,True
B1165,AI129,2025-08-20 11:37:36.951,CANCELLED,True
B1166,SJ141,2026-01-23 11:37:36.951,CONFIRMED,True
B1167,SJ018,2026-02-02 11:37:36.951,CANCELLED,True
B1168,UK120,2025-10-14 11:37:36.951,CANCELLED,True
B1169,AI078,2025-11-15 11:37:36.951,CONFIRMED,True
B1170,AI079,2025-09-14 11:37:36.951,PENDING,True
B1171,UK087,2025-09-19 11:37:36.951,CANCELLED,True
B1172,UK133,2026-01-17 11:37:36.951,CONFIRMED,True
B1173,AI222,2025-06-01 11:37:36.951,CANCELLED,True
B1176,SJ226,2025-04-17 11:37:36.951,CANCELLED,True
B1177,SJ227,2025-07-29 11:37:36.951,CANCELLED,True
B1179,SJ078,2025-10-03 11:37:36.951,CONFIRMED,True
B1180,AI240,2026-04-10 11:37:36.951,PENDING,True
B1181,SJ002,2026-03-29 11:37:36.951,CANCELLED,True
B1182,AI044,2025-08-11 11:37:36.951,CANCELLED,True
B1183,UK076,2025-06-22 11:37:36.951,CANCELLED,True
B1185,SJ228,2025-08-16 11:37:36.951,CANCELLED,True
B1186,SJ074,2026-04-04 11:37:36.951,CONFIRMED,True
B1187,UK229,2025-08-04 11:37:36.951,PENDING,True
B1188,AI208,2026-04-04 11:37:36.951,CONFIRMED,True
B1189,AI019,2025-11-23 11:37:36.951,CONFIRMED,True
B1192,AI059,2025-06-23 11:37:36.951,CANCELLED,True
B1193,AI159,2025-05-22 11:37:36.951,PENDING,True
B1196,UK170,2026-01-15 11:37:36.951,CANCELLED,True
B1197,UK212,2025-05-19 11:37:36.951,CONFIRMED,True
B1199,SJ075,2025-12-13 11:37:36.951,PENDING,True
B1200,UK177,2025-09-17 11:37:36.951,CONFIRMED,True
B1201,UK206,2026-02-01 11:37:36.951,CANCELLED,True
B1202,UK079,2025-04-29 11:37:36.951,CANCELLED,True
B1203,UK040,2025-06-21 11:37:36.951,CONFIRMED,True
B1204,AI034,2025-07-25 11:37:36.951,CONFIRMED,True
B1205,UK034,2025-10-18 11:37:36.951,CONFIRMED,True
B1206,AI088,2025-07-02 11:37:36.951,CONFIRMED,True
B1207,AI128,2025-06-11 11:37:36.951,PENDING,True
B1209,AI233,2025-12-15 11:37:36.951,PENDING,True
B1210,AI012,2026-01-20 11:37:36.951,PENDING,True
B1211,AI084,2025-07-07 11:37:36.951,CONFIRMED,True
B1213,SJ061,2025-06-16 11:37:36.951,CONFIRMED,True
B1215,AI135,2025-08-08 11:37:36.951,CANCELLED,True
B1218,AI213,2025-11-13 11:37:36.951,PENDING,True
B1219,UK193,2026-02-15 11:37:36.951,CANCELLED,True
B1221,AI158,2026-03-06 11:37:36.951,CONFIRMED,True
B1222,UK208,2026-03-30 11:37:36.951,PENDING,True
B1224,UK185,2025-10-26 11:37:36.951,CONFIRMED,True
B1225,AI163,2026-01-13 11:37:36.951,PENDING,True
B1226,AI112,2025-08-23 11:37:36.951,CONFIRMED,True
B1227,AI227,2025-10-23 11:37:36.951,CANCELLED,True
B1228,SJ083,2026-04-17 11:37:36.951,CONFIRMED,True
B1229,UK073,2026-02-07 11:37:36.951,CONFIRMED,True
B1231,UK154,2026-04-06 11:37:36.951,CANCELLED,True
B1232,SJ169,2025-10-06 11:37:36.951,CONFIRMED,True
B1234,UK210,2025-11-21 11:37:36.951,CANCELLED,True
B1236,AI062,2025-07-05 11:37:36.951,CONFIRMED,True
B1239,AI217,2025-11-17 11:37:36.951,CANCELLED,True
B1240,UK100,2025-12-31 11:37:36.951,CONFIRMED,True
B1241,UK116,2025-12-16 11:37:36.951,CONFIRMED,True
B1243,AI175,2026-01-22 11:37:36.951,CANCELLED,True
B1244,UK051,2025-08-18 11:37:36.951,CONFIRMED,True
B1247,SJ138,2025-08-13 11:37:36.951,CANCELLED,True
B1248,AI246,2026-03-04 11:37:36.951,PENDING,True
B1251,UK015,2025-08-30 11:37:36.951,PENDING,True
B1252,UK001,2025-04-21 11:37:36.951,CANCELLED,True
B1255,UK165,2025-09-22 11:37:36.951,CANCELLED,True
B1257,AI082,2025-08-19 11:37:36.951,CANCELLED,True
B1258,AI164,2025-10-28 11:37:36.951,CANCELLED,True
B1259,SJ155,2026-01-19 11:37:36.951,CANCELLED,True
B1260,AI189,2026-01-04 11:37:36.951,CANCELLED,True
B1261,SJ057,2025-12-21 11:37:36.951,CONFIRMED,True
B1262,SJ198,2025-05-07 11:37:36.951,CONFIRMED,True
B1264,SJ097,2026-04-15 11:37:36.951,CONFIRMED,True
B1265,UK203,2025-08-06 11:37:36.951,PENDING,True
B1266,UK093,2026-01-16 11:37:36.951,CONFIRMED,True
B1267,AI205,2025-05-21 11:37:36.951,CANCELLED,True
B1272,AI068,2025-07-18 11:37:36.951,PENDING,True
B1274,UK008,2025-10-15 11:37:36.951,PENDING,True
B1277,AI196,2026-01-19 11:37:36.951,PENDING,True
B1278,SJ191,2025-08-09 11:37:36.951,CONFIRMED,True
B1280,AI226,2026-04-12 11:37:36.951,CONFIRMED,True
B1281,SJ207,2026-01-21 11:37:36.951,CANCELLED,True
B1282,AI009,2025-12-30 11:37:36.951,CANCELLED,True
B1284,SJ127,2026-02-22 11:37:36.951,CANCELLED,True
B1285,UK188,2026-03-26 11:37:36.951,CANCELLED,True
B1287,SJ098,2025-12-13 11:37:36.951,CANCELLED,True
B1289,SJ030,2026-03-23 11:37:36.951,PENDING,True
B1290,UK175,2025-07-26 11:37:36.951,CANCELLED,True
B1291,SJ108,2026-04-01 11:37:36.951,PENDING,True
B1293,UK222,2025-08-31 11:37:36.951,CONFIRMED,True
B1295,AI096,2025-12-29 11:37:36.951,CANCELLED,True
B1296,AI216,2025-12-23 11:37:36.951,CANCELLED,True
B1298,SJ194,2026-01-02 11:37:36.951,PENDING,True
B1299,SJ020,2025-09-11 11:37:36.951,CONFIRMED,True
B1301,AI051,2025-09-03 11:37:36.951,CONFIRMED,True
B1302,UK219,2025-12-27 11:37:36.951,PENDING,True
B1303,AI235,2025-12-13 11:37:36.951,CONFIRMED,True
B1305,SJ114,2025-09-28 11:37:36.951,PENDING,True
B1306,SJ076,2025-12-01 11:37:36.951,CONFIRMED,True
B1307,UK227,2026-01-26 11:37:36.951,PENDING,True
B1308,UK135,2025-07-22 11:37:36.951,CANCELLED,True
B1309,AI234,2025-05-06 11:37:36.951,CONFIRMED,True
B1311,SJ206,2025-11-16 11:37:36.951,PENDING,True
B1314,AI061,2025-04-28 11:37:36.951,CONFIRMED,True
B1316,SJ099,2026-01-06 11:37:36.951,PENDING,True
B1317,SJ146,2026-02-24 11:37:36.951,CANCELLED,True
B1318,SJ146,2025-05-23 11:37:36.951,CANCELLED,True
B1321,SJ029,2026-02-12 11:37:36.951,PENDING,True
B1322,UK084,2025-07-27 11:37:36.951,CONFIRMED,True
B1323,SJ048,2026-02-06 11:37:36.951,CONFIRMED,True
B1324,AI108,2026-02-04 11:37:36.951,CANCELLED,True
B1325,SJ134,2025-08-11 11:37:36.951,CANCELLED,True
B1326,UK146,2025-10-31 11:37:36.951,CONFIRMED,True
B1327,SJ036,2025-09-24 11:37:36.951,CONFIRMED,True
B1329,UK041,2026-02-13 11:37:36.951,CONFIRMED,True
B1331,AI097,2025-07-03 11:37:36.951,PENDING,True
B1332,UK159,2026-01-15 11:37:36.951,CONFIRMED,True
B1333,UK044,2025-09-06 11:37:36.951,CANCELLED,True
B1335,SJ221,2026-02-11 11:37:36.951,PENDING,True
B1339,AI237,2025-09-17 11:37:36.951,CANCELLED,True
B1342,UK149,2025-04-29 11:37:36.951,CONFIRMED,True
B1343,SJ163,2026-03-08 11:37:36.951,CONFIRMED,True
B1344,SJ243,2026-03-28 11:37:36.951,CONFIRMED,True
B1345,UK113,2025-06-06 11:37:36.951,CANCELLED,True
B1346,AI071,2025-06-07 11:37:36.951,PENDING,True
B1348,SJ015,2025-06-05 11:37:36.951,CANCELLED,True
B1349,UK047,2025-11-19 11:37:36.951,CANCELLED,True
B1350,UK020,2026-02-04 11:37:36.951,PENDING,True
B1351,AI122,2025-09-03 11:37:36.951,PENDING,True
B1352,UK223,2025-10-20 11:37:36.951,CANCELLED,True
B1354,SJ162,2025-12-14 11:37:36.951,CONFIRMED,True
B1356,AI173,2025-11-10 11:37:36.951,PENDING,True
B1358,AI053,2025-06-22 11:37:36.951,PENDING,True
B1359,AI241,2025-10-22 11:37:36.951,CONFIRMED,True
B1361,AI110,2025-08-24 11:37:36.951,PENDING,True
B1362,AI252,2025-10-22 11:37:36.951,CONFIRMED,True
B1363,AI149,2025-12-14 11:37:36.951,CANCELLED,True
B1364,AI224,2025-09-09 11:37:36.951,PENDING,True
B1365,UK158,2025-07-03 11:37:36.951,CANCELLED,True
B1367,UK164,2025-12-14 11:37:36.951,CONFIRMED,True
B1368,UK007,2025-12-26 11:37:36.951,CANCELLED,True
B1370,SJ004,2026-01-01 11:37:36.951,CANCELLED,True
B1372,SJ130,2025-05-11 11:37:36.951,CANCELLED,True
B1373,SJ070,2026-02-14 11:37:36.951,CANCELLED,True
B1374,AI085,2025-04-24 11:37:36.951,CANCELLED,True
B1375,SJ109,2025-09-02 11:37:36.951,CONFIRMED,True
B1376,AI168,2025-08-24 11:37:36.951,PENDING,True
B1377,UK123,2025-10-24 11:37:36.951,CONFIRMED,True
B1378,UK110,2026-01-16 11:37:36.951,PENDING,True
B1379,AI206,2025-11-02 11:37:36.951,PENDING,True
B1381,SJ013,2025-11-11 11:37:36.951,PENDING,True
B1382,UK061,2025-09-19 11:37:36.951,PENDING,True
B1383,AI010,2025-09-24 11:37:36.951,CANCELLED,True
B1384,AI024,2025-05-16 11:37:36.951,CONFIRMED,True
B1385,UK130,2025-06-08 11:37:36.951,CONFIRMED,True
B1386,AI161,2026-03-12 11:37:36.951,CANCELLED,True
B1387,SJ208,2025-07-23 11:37:36.951,PENDING,True
B1390,SJ028,2026-03-09 11:37:36.951,CANCELLED,True
B1391,SJ084,2025-11-26 11:37:36.951,CONFIRMED,True
B1392,AI139,2026-03-27 11:37:36.951,CONFIRMED,True
B1393,UK179,2026-04-06 11:37:36.951,PENDING,True
B1397,UK190,2026-02-05 11:37:36.951,CANCELLED,True
B1399,UK221,2025-05-31 11:37:36.951,PENDING,True
B1400,SJ107,2026-04-02 11:37:36.951,CANCELLED,True
B1402,UK183,2026-03-21 11:37:36.951,CANCELLED,True
B1403,SJ203,2025-05-08 11:37:36.951,PENDING,True
B1405,AI100,2025-08-26 11:37:36.951,PENDING,True
B1407,UK048,2025-08-26 11:37:36.951,CONFIRMED,True
B1408,SJ204,2025-07-29 11:37:36.951,CONFIRMED,True
B1409,UK105,2026-03-24 11:37:36.951,CONFIRMED,True
B1410,AI098,2026-04-13 11:37:36.951,CONFIRMED,True
B1414,SJ182,2026-01-07 11:37:36.951,CONFIRMED,True
B1416,SJ187,2025-08-17 11:37:36.951,CANCELLED,True
B1417,AI182,2025-08-18 11:37:36.951,PENDING,True
B1418,SJ027,2025-05-04 11:37:36.951,PENDING,True
B1419,SJ062,2026-01-20 11:37:36.951,CONFIRMED,True
B1420,SJ161,2026-02-24 11:37:36.951,CONFIRMED,True
B1422,AI181,2026-01-04 11:37:36.951,CANCELLED,True
B1423,AI003,2025-06-12 11:37:36.951,CONFIRMED,True
B1425,SJ175,2025-06-28 11:37:36.951,CANCELLED,True
B1427,SJ040,2026-04-15 11:37:36.951,CANCELLED,True
B1429,AI248,2025-05-08 11:37:36.951,CANCELLED,True
B1430,SJ016,2026-02-08 11:37:36.951,CONFIRMED,True
B1431,UK204,2025-11-21 11:37:36.951,CONFIRMED,True
B1433,SJ166,2025-05-07 11:37:36.951,CONFIRMED,True
B1434,AI036,2025-10-19 11:37:36.951,PENDING,True
B1435,SJ215,2025-09-18 11:37:36.951,CONFIRMED,True
B1436,AI076,2026-01-05 11:37:36.951,CONFIRMED,True
B1437,SJ012,2025-11-28 11:37:36.951,CANCELLED,True
B1439,SJ173,2025-11-09 11:37:36.951,CONFIRMED,True
B1440,AI193,2026-03-09 11:37:36.951,CANCELLED,True
B1442,AI225,2025-06-02 11:37:36.951,PENDING,True
B1443,AI190,2025-10-09 11:37:36.951,CANCELLED,True
B1444,SJ238,2025-12-25 11:37:36.951,CONFIRMED,True
B1446,UK136,2025-09-25 11:37:36.951,PENDING,True
B1447,SJ063,2025-05-21 11:37:36.951,CONFIRMED,True
B1449,AI037,2025-05-23 11:37:36.951,PENDING,True
B1450,UK225,2025-11-11 11:37:36.951,CONFIRMED,True
B1451,AI141,2025-05-20 11:37:36.951,CONFIRMED,True
B1454,AI045,2025-08-16 11:37:36.951,PENDING,True
B1455,AI198,2026-04-12 11:37:36.951,CONFIRMED,True
B1456,AI120,2025-04-24 11:37:36.951,PENDING,True
B1458,UK102,2025-11-19 11:37:36.951,CONFIRMED,True
B1459,SJ199,2025-06-10 11:37:36.951,CANCELLED,True
B1461,UK065,2025-10-14 11:37:36.951,PENDING,True
B1463,SJ148,2026-02-10 11:37:36.951,PENDING,True
B1464,AI083,2026-03-07 11:37:36.951,CANCELLED,True
B1465,UK024,2025-07-02 11:37:36.951,PENDING,True
B1466,UK220,2025-04-27 11:37:36.951,CANCELLED,True
B1467,UK115,2025-04-30 11:37:36.951,CANCELLED,True
B1468,AI255,2025-07-16 11:37:36.951,CONFIRMED,True
B1471,UK184,2026-03-28 11:37:36.951,PENDING,True
B1473,SJ168,2025-07-19 11:37:36.951,PENDING,True
B1474,SJ178,2025-07-28 11:37:36.951,CANCELLED,True
B1475,UK111,2026-03-07 11:37:36.951,CANCELLED,True
B1476,SJ051,2026-02-27 11:37:36.951,CANCELLED,True
B1477,SJ193,2025-07-06 11:37:36.951,CANCELLED,True
B1478,SJ039,2026-02-24 11:37:36.951,CONFIRMED,True
B1479,UK066,2025-12-17 11:37:36.951,CANCELLED,True
B1480,SJ050,2026-03-14 11:37:36.951,PENDING,True
B1482,SJ170,2025-08-29 11:37:36.951,PENDING,True
B1484,AI219,2025-05-07 11:37:36.951,CONFIRMED,True
B1486,AI207,2025-05-04 11:37:36.951,CONFIRMED,True
B1488,SJ073,2025-05-04 11:37:36.951,CANCELLED,True
B1489,SJ201,2025-07-08 11:37:36.951,CANCELLED,True
B1490,AI180,2026-03-10 11:37:36.951,CONFIRMED,True
B1491,UK022,2025-07-16 11:37:36.951,CONFIRMED,True
B1492,AI202,2026-03-27 11:37:36.951,CANCELLED,True
B1495,UK028,2025-10-15 11:37:36.952,CONFIRMED,True
B1497,AI165,2025-09-02 11:37:36.952,CONFIRMED,True
B1498,UK099,2025-07-18 11:37:36.952,PENDING,True
B1500,UK056,2025-04-30 11:37:36.952,CONFIRMED,True
B1501,SJ122,2025-09-04 11:37:36.952,CANCELLED,True
B1502,AI086,2025-10-15 11:37:36.952,CONFIRMED,True
B1503,SJ011,2025-10-17 11:37:36.952,CONFIRMED,True
B1504,SJ021,2025-04-21 11:37:36.952,PENDING,True
B1505,SJ106,2025-11-29 11:37:36.952,CONFIRMED,True
B1506,SJ026,2026-01-29 11:37:36.952,CANCELLED,True
B1507,SJ245,2025-11-27 11:37:36.952,PENDING,True
B1509,AI032,2025-09-25 11:37:36.952,CANCELLED,True
B1510,AI236,2025-05-11 11:37:36.952,CANCELLED,True
B1512,UK163,2025-12-21 11:37:36.952,PENDING,True
B1513,UK163,2025-06-30 11:37:36.952,CONFIRMED,True
B1514,SJ045,2025-05-07 11:37:36.952,CANCELLED,True
B1515,SJ006,2025-07-06 11:37:36.952,PENDING,True
B1516,SJ103,2025-08-05 11:37:36.952,CANCELLED,True
B1519,SJ064,2026-03-25 11:37:36.952,PENDING,True
B1520,AI028,2026-04-02 11:37:36.952,CONFIRMED,True
B1521,AI148,2025-11-08 11:37:36.952,PENDING,True
B1523,SJ067,2025-05-19 11:37:36.952,PENDING,True
B1526,SJ136,2025-11-15 11:37:36.952,CONFIRMED,True
B1527,AI046,2025-07-09 11:37:36.952,PENDING,True
B1528,UK174,2026-03-28 11:37:36.952,PENDING,True
B1532,UK118,2025-04-22 11:37:36.952,PENDING,True
B1533,UK218,2025-09-15 11:37:36.952,PENDING,True
B1534,UK031,2025-09-11 11:37:36.952,CONFIRMED,True
B1535,UK142,2026-04-02 11:37:36.952,PENDING,True
B1537,UK070,2025-10-08 11:37:36.952,CONFIRMED,True
B1538,SJ121,2026-03-17 11:37:36.952,PENDING,True
B1539,UK201,2025-06-11 11:37:36.952,CONFIRMED,True
B1540,AI138,2026-01-15 11:37:36.952,CANCELLED,True
B1541,SJ014,2025-12-16 11:37:36.952,CONFIRMED,True
B1542,SJ053,2025-12-13 11:37:36.952,PENDING,True
B1543,SJ241,2025-06-16 11:37:36.952,CANCELLED,True
B1544,AI249,2025-09-01 11:37:36.952,CANCELLED,True
B1545,AI176,2026-03-08 11:37:36.952,PENDING,True
B1546,SJ234,2026-04-02 11:37:36.952,PENDING,True
B1548,AI020,2025-10-04 11:37:36.952,CONFIRMED,True
B1549,AI020,2025-12-16 11:37:36.952,CONFIRMED,True
B1552,UK046,2026-02-06 11:37:36.952,PENDING,True
B1553,SJ217,2025-11-15 11:37:36.952,CONFIRMED,True
B1555,SJ139,2026-04-04 11:37:36.952,CONFIRMED,True
B1558,AI007,2025-08-07 11:37:36.952,PENDING,True
B1559,UK202,2026-01-20 11:37:36.952,CONFIRMED,True
B1560,AI200,2026-03-07 11:37:36.952,CONFIRMED,True
B1561,UK172,2026-01-27 11:37:36.952,PENDING,True
B1563,UK037,2025-09-11 11:37:36.952,PENDING,True
B1564,AI022,2025-08-14 11:37:36.952,PENDING,True
B1565,AI243,2026-02-06 11:37:36.952,CANCELLED,True
B1566,SJ174,2025-10-08 11:37:36.952,CONFIRMED,True
B1567,SJ079,2025-11-13 11:37:36.952,PENDING,True
B1568,UK097,2025-12-21 11:37:36.952,CONFIRMED,True
B1569,AI013,2025-12-26 11:37:36.952,CANCELLED,True
B1570,UK196,2025-11-21 11:37:36.952,CANCELLED,True
B1571,SJ213,2025-11-06 11:37:36.952,CONFIRMED,True
B1572,UK119,2025-05-26 11:37:36.952,CONFIRMED,True
B1573,AI043,2026-03-18 11:37:36.952,PENDING,True
B1574,AI043,2025-04-29 11:37:36.952,CANCELLED,True
B1575,AI143,2025-06-16 11:37:36.952,CANCELLED,True
B1578,AI134,2025-12-25 11:37:36.952,PENDING,True
B1580,SJ086,2025-10-08 11:37:36.952,CONFIRMED,True
B1582,UK168,2025-04-24 11:37:36.952,PENDING,True
B1584,UK075,2025-04-28 11:37:36.952,CANCELLED,True
B1586,SJ143,2025-11-13 11:37:36.952,CANCELLED,True
B1587,SJ246,2025-06-28 11:37:36.952,PENDING,True
B1588,SJ247,2025-11-04 11:37:36.952,CONFIRMED,True
B1589,UK157,2025-08-31 11:37:36.952,PENDING,True
B1590,UK069,2026-04-01 11:37:36.952,CONFIRMED,True
B1591,AI106,2025-11-20 11:37:36.952,CANCELLED,True
B1592,UK085,2025-11-17 11:37:36.952,CONFIRMED,True
B1594,AI067,2025-06-01 11:37:36.952,CONFIRMED,True
B1596,SJ210,2025-12-20 11:37:36.952,CONFIRMED,True
B1598,UK013,2026-01-02 11:37:36.952,CONFIRMED,True
B1599,UK013,2025-09-30 11:37:36.952,PENDING,True
B1600,UK143,2025-07-20 11:37:36.952,PENDING,True
B1603,SJ118,2025-12-06 11:37:36.952,CANCELLED,True
B1604,SJ118,2025-11-17 11:37:36.952,CANCELLED,True
B1605,SJ082,2025-10-03 11:37:36.952,CANCELLED,True
B1608,SJ110,2025-06-28 11:37:36.952,CANCELLED,True
B1609,SJ042,2025-10-21 11:37:36.952,CANCELLED,True
B1611,UK029,2026-01-05 11:37:36.952,CANCELLED,True
B1612,SJ200,2025-04-18 11:37:36.952,CANCELLED,True
B1613,SJ209,2026-01-29 11:37:36.952,CONFIRMED,True
B1616,SJ181,2025-12-23 11:37:36.952,PENDING,True
B1618,AI070,2026-01-19 11:37:36.952,CONFIRMED,True
B1619,UK042,2026-02-05 11:37:36.952,PENDING,True
B1620,AI169,2026-02-24 11:37:36.952,PENDING,True
B1622,SJ046,2025-06-23 11:37:36.952,PENDING,True
B1623,AI211,2025-08-17 11:37:36.952,CANCELLED,True
B1624,SJ091,2025-12-20 11:37:36.952,CANCELLED,True
B1625,AI123,2026-04-05 11:37:36.952,PENDING,True
B1627,UK012,2026-01-09 11:37:36.952,PENDING,True
B1629,AI250,2026-01-02 11:37:36.952,CONFIRMED,True
B1630,AI238,2026-04-07 11:37:36.952,PENDING,True
B1631,UK096,2026-02-17 11:37:36.952,CANCELLED,True
B1632,UK126,2026-03-30 11:37:36.952,PENDING,True
