flight_id,airline,source,destination,departure_time,arrival_time,flight_id_raw,duration_raw,flight_id_valid_flag,arrival_time_adjusted,overnight_flag,duration_minutes,duration_anomaly_flag,departure_date,route
SJ239,SpiceJet,BOM,CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,SJ239,,True,2026-04-21 00:10:41.704,True,106.0,False,2026-04-20,BOM → CCU
AI048,Air India,CCU,DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,AI048,,True,2026-04-21 02:15:41.701,True,232.0,False,2026-04-20,CCU → DEL
SJ112,SpiceJet,HYD,DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,SJ112,,True,2026-04-21 00:40:41.702,True,140.0,False,2026-04-20,HYD → DEL
UK021,Vistara,HYD,MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,UK021,,True,2026-04-20 23:50:41.701,False,110.0,False,2026-04-20,HYD → MAA
SJ172,SpiceJet,CCU,DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,SJ172,,True,2026-04-21 01:14:41.703,True,196.0,False,2026-04-20,CCU → DEL
AI060,Air India,DEL,HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,AI060,,True,2026-04-20 23:51:41.701,False,113.0,False,2026-04-20,DEL → HYD
SJ205,SpiceJet,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,SJ205,,True,2026-04-20 23:00:41.703,False,64.0,False,2026-04-20,HYD → CCU
SJ093,SpiceJet,BLR,BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,SJ093,,True,2026-04-20 23:01:41.702,False,66.0,False,2026-04-20,BLR → BOM
UK003,Unknown,HYD,DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,UK003,,True,2026-04-21 02:19:41.700,True,278.0,False,2026-04-20,HYD → DEL
UK026,Vistara,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,UK026,,True,2026-04-20 23:44:41.701,False,126.0,False,2026-04-20,HYD → MAA
UK067,Vistara,BOM,CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,UK067,,True,2026-04-21 01:02:41.701,True,206.0,False,2026-04-20,BOM → CCU
SJ149,SpiceJet,HYD,MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,SJ149,,True,2026-04-20 23:20:42.000,False,120.00496666666666,False,2026-04-20,HYD → MAA
UK200,Vistara,CCU,DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,UK200,,True,2026-04-20 22:45:41.703,False,111.0,False,2026-04-20,CCU → DEL
SJ214,SpiceJet,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,SJ214,,True,2026-04-20 22:10:41.703,False,76.0,False,2026-04-20,BOM → MAA
SJ047,SpiceJet,HYD,BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,SJ047,,True,2026-04-20 21:21:41.701,False,37.0,False,2026-04-20,HYD → BOM
AI179,Air India,HYD,BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,AI179,,True,2026-04-21 01:19:41.703,True,278.0,False,2026-04-20,HYD → BOM
SJ153,SpiceJet,DEL,CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,SJ153,,True,2026-04-20 22:00:41.702,False,83.0,False,2026-04-20,DEL → CCU
UK059,Vistara,HYD,MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,UK059,,True,2026-04-20 22:10:41.701,False,97.0,False,2026-04-20,HYD → MAA
SJ001,SpiceJet,BOM,MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,SJ001,,True,2026-04-21 01:15:41.700,True,287.0,False,2026-04-20,BOM → MAA
SJ049,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,SJ049,,True,2026-04-21 00:26:41.701,True,240.0,False,2026-04-20,CCU → DEL
AI220,Air India,BOM,DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,AI220,,True,2026-04-20 21:57:41.703,False,98.0,False,2026-04-20,BOM → DEL
AI188,Air India,CCU,HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,AI188,,True,2026-04-20 23:02:41.703,False,166.0,False,2026-04-20,CCU → HYD
SJ179,SpiceJet,DEL,HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,SJ179,,True,2026-04-20 23:39:41.703,False,210.0,False,2026-04-20,DEL → HYD
SJ003,SpiceJet,MAA,CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,SJ003,,True,2026-04-20 20:32:41.701,False,42.0,False,2026-04-20,MAA → CCU
UK036,Vistara,CCU,BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,UK036,,True,2026-04-21 00:12:41.701,True,264.0,False,2026-04-20,CCU → BLR
SJ160,SpiceJet,MAA,BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,SJ160,,True,2026-04-20 20:30:41.703,False,45.0,False,2026-04-20,MAA → BLR
UK140,Vistara,MAA,BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,UK140,,True,2026-04-20 21:00:41.703,False,83.0,False,2026-04-20,MAA → BLR
AI115,Air India,MAA,BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,AI115,,True,2026-04-21 00:26:41.702,True,289.0,False,2026-04-20,MAA → BLR
AI132,Air India,BLR,BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,AI132,,True,2026-04-20 21:41:41.702,False,129.0,False,2026-04-20,BLR → BOM
UK209,Unknown,MAA,BLR,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,UK209,,True,2026-04-20 21:47:41.704,False,165.0,False,2026-04-20,MAA → BLR
SJ043,Unknown,MAA,DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,SJ043,,True,2026-04-20 21:08:41.701,False,129.0,False,2026-04-20,MAA → DEL
UK176,Vistara,HYD,BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,UK176,,True,2026-04-20 22:49:41.703,False,248.0,False,2026-04-20,HYD → BLR
UK216,Vistara,MAA,HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,UK216,,True,2026-04-20 21:47:41.704,False,194.0,False,2026-04-20,MAA → HYD
UK150,Vistara,DEL,CCU,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,UK150,,True,2026-04-20 19:01:41.703,False,30.0,False,2026-04-20,DEL → CCU
UK145,Vistara,BOM,HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,UK145,,True,2026-04-20 20:41:41.703,False,131.0,False,2026-04-20,BOM → HYD
SJ236,SpiceJet,MAA,BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,SJ236,,True,2026-04-20 22:02:41.704,False,239.0,False,2026-04-20,MAA → BOM
UK004,Vistara,BOM,CCU,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,UK004,,True,2026-04-20 18:30:41.700,False,34.0,False,2026-04-20,BOM → CCU
UK010,Vistara,MAA,HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,UK010,,True,2026-04-20 20:40:41.701,False,167.0,False,2026-04-20,MAA → HYD
UK215,Vistara,BOM,DEL,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,UK215,,True,2026-04-20 19:50:41.704,False,132.0,False,2026-04-20,BOM → DEL
SJ116,SpiceJet,HYD,CCU,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,SJ116,,True,2026-04-20 19:02:41.702,False,89.0,False,2026-04-20,HYD → CCU
SJ023,SpiceJet,HYD,MAA,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,SJ023,,True,2026-04-20 19:09:41.701,False,102.0,False,2026-04-20,HYD → MAA
UK152,Vistara,BOM,CCU,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,UK152,,True,2026-04-20 20:13:41.703,False,169.0,False,2026-04-20,BOM → CCU
SJ202,SpiceJet,CCU,HYD,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,SJ202,,True,2026-04-20 19:08:41.703,False,107.0,False,2026-04-20,CCU → HYD
UK173,Vistara,MAA,BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,UK173,,True,2026-04-20 21:22:41.703,False,256.0,False,2026-04-20,MAA → BLR
SJ081,SpiceJet,BOM,BLR,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,SJ081,,True,2026-04-20 18:53:41.702,False,109.0,False,2026-04-20,BOM → BLR
UK153,Vistara,CCU,HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,UK153,,True,2026-04-20 20:53:41.703,False,241.0,False,2026-04-20,CCU → HYD
UK187,Vistara,BLR,BOM,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,UK187,,True,2026-04-20 18:42:41.703,False,110.0,False,2026-04-20,BLR → BOM
UK055,Vistara,HYD,DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,UK055,,True,2026-04-20 19:31:41.701,False,163.0,False,2026-04-20,HYD → DEL
UK181,Vistara,MAA,DEL,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,UK181,,True,2026-04-20 19:26:41.703,False,162.0,False,2026-04-20,MAA → DEL
UK074,Vistara,BOM,DEL,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,UK074,,True,2026-04-20 18:41:41.702,False,117.0,False,2026-04-20,BOM → DEL
SJ068,SpiceJet,BLR,BOM,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,SJ068,,True,2026-04-20 18:48:41.701,False,124.0,False,2026-04-20,BLR → BOM
AI242,Unknown,BLR,CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,AI242,,True,2026-04-20 17:43:41.704,False,62.0,False,2026-04-20,BLR → CCU
AI242,Unknown,BLR,CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,AI242,,True,2026-04-20 17:43:41.704,False,62.0,False,2026-04-20,BLR → CCU
SJ237,SpiceJet,BOM,CCU,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,SJ237,,True,2026-04-20 19:00:41.704,False,148.0,False,2026-04-20,BOM → CCU
UK063,Vistara,DEL,BOM,2026-04-20 16:29:41.701,2026-04-20 17:41:41.701,UK063,,True,2026-04-20 17:41:41.701,False,72.0,False,2026-04-20,DEL → BOM
UK068,Vistara,BLR,MAA,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,UK068,,True,2026-04-20 18:09:41.701,False,101.0,False,2026-04-20,BLR → MAA
UK224,Unknown,CCU,MAA,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,UK224,,True,2026-04-20 20:24:41.704,False,239.0,False,2026-04-20,CCU → MAA
UK077,Unknown,HYD,BOM,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,UK077,,True,2026-04-20 18:00:41.702,False,98.0,False,2026-04-20,HYD → BOM
UK207,Vistara,MAA,CCU,2026-04-20 16:21:41.703,2026-04-20 17:36:41.703,UK207,,True,2026-04-20 17:36:41.703,False,75.0,False,2026-04-20,MAA → CCU
AI221,Air India,MAA,HYD,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,AI221,,True,2026-04-20 18:54:41.703,False,156.0,False,2026-04-20,MAA → HYD
UK109,Vistara,BLR,BOM,2026-04-20 16:06:41.702,2026-04-20 17:06:42.000,UK109,,True,2026-04-20 17:06:42.000,False,60.00496666666666,False,2026-04-20,BLR → BOM
UK089,Vistara,BOM,HYD,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,UK089,,True,2026-04-20 19:50:41.702,False,252.0,False,2026-04-20,BOM → HYD
AI072,Air India,BLR,CCU,2026-04-20 15:34:41.702,2026-04-20 16:32:41.702,AI072,,True,2026-04-20 16:32:41.702,False,58.0,False,2026-04-20,BLR → CCU
UK131,Vistara,BOM,DEL,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,UK131,,True,2026-04-20 19:39:41.702,False,246.0,False,2026-04-20,BOM → DEL
SJ150,SpiceJet,BOM,HYD,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,SJ150,,True,2026-04-20 19:03:41.702,False,210.0,False,2026-04-20,BOM → HYD
SJ034,SpiceJet,MAA,BOM,2026-04-20 15:20:41.701,2026-04-20 20:11:41.701,SJ034,,True,2026-04-20 20:11:41.701,False,291.0,False,2026-04-20,MAA → BOM
SJ142,SpiceJet,CCU,BOM,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,SJ142,,True,2026-04-20 16:56:41.702,False,102.0,False,2026-04-20,CCU → BOM
SJ142,SpiceJet,CCU,BOM,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,SJ142,,True,2026-04-20 16:56:41.702,False,102.0,False,2026-04-20,CCU → BOM
UK189,Vistara,BLR,MAA,2026-04-20 15:07:41.703,2026-04-20 18:51:41.703,UK189,,True,2026-04-20 18:51:41.703,False,224.0,False,2026-04-20,BLR → MAA
SJ044,SpiceJet,DEL,CCU,2026-04-20 15:06:41.701,2026-04-20 17:43:41.701,SJ044,,True,2026-04-20 17:43:41.701,False,157.0,False,2026-04-20,DEL → CCU
SJ196,SpiceJet,DEL,HYD,2026-04-20 14:58:41.703,2026-04-20 17:44:41.703,SJ196,,True,2026-04-20 17:44:41.703,False,166.0,False,2026-04-20,DEL → HYD
SJ154,SpiceJet,BLR,HYD,2026-04-20 14:47:41.702,2026-04-20 16:26:41.702,SJ154,,True,2026-04-20 16:26:41.702,False,99.0,False,2026-04-20,BLR → HYD
AI025,Air India,HYD,DEL,2026-04-20 14:46:41.701,2026-04-20 17:11:41.701,AI025,,True,2026-04-20 17:11:41.701,False,145.0,False,2026-04-20,HYD → DEL
AI094,Air India,DEL,BLR,2026-04-20 14:44:41.702,2026-04-20 15:44:42.000,AI094,,True,2026-04-20 15:44:42.000,False,60.00496666666666,False,2026-04-20,DEL → BLR
SJ085,SpiceJet,BLR,MAA,2026-04-20 14:41:41.702,2026-04-20 19:11:41.702,SJ085,,True,2026-04-20 19:11:41.702,False,270.0,False,2026-04-20,BLR → MAA
SJ185,SpiceJet,BOM,CCU,2026-04-20 14:21:41.703,2026-04-20 15:21:41.703,SJ185,,True,2026-04-20 15:21:41.703,False,60.0,False,2026-04-20,BOM → CCU
SJ222,SpiceJet,BOM,DEL,2026-04-20 14:15:41.703,2026-04-20 17:09:41.703,SJ222,,True,2026-04-20 17:09:41.703,False,174.0,False,2026-04-20,BOM → DEL
UK083,Vistara,DEL,HYD,2026-04-20 14:10:41.702,2026-04-20 14:59:41.702,UK083,,True,2026-04-20 14:59:41.702,False,49.0,False,2026-04-20,DEL → HYD
SJ088,SpiceJet,CCU,MAA,2026-04-20 13:54:41.702,2026-04-20 14:26:41.702,SJ088,,True,2026-04-20 14:26:41.702,False,32.0,False,2026-04-20,CCU → MAA
AI077,Air India,CCU,HYD,2026-04-20 13:45:41.702,2026-04-20 14:51:41.702,AI077,,True,2026-04-20 14:51:41.702,False,66.0,False,2026-04-20,CCU → HYD
UK134,Vistara,HYD,CCU,2026-04-20 13:44:41.702,2026-04-20 17:26:41.702,UK134,,True,2026-04-20 17:26:41.702,False,222.0,False,2026-04-20,HYD → CCU
AI056,Air India,DEL,MAA,2026-04-20 13:44:41.701,2026-04-20 17:39:41.701,AI056,,True,2026-04-20 17:39:41.701,False,235.0,False,2026-04-20,DEL → MAA
UK141,Unknown,HYD,MAA,2026-04-20 13:38:41.703,2026-04-20 15:59:41.703,UK141,,True,2026-04-20 15:59:41.703,False,141.0,False,2026-04-20,HYD → MAA
AI030,Air India,CCU,HYD,2026-04-20 13:33:41.701,2026-04-20 16:52:41.701,AI030,,True,2026-04-20 16:52:41.701,False,199.0,False,2026-04-20,CCU → HYD
AI029,Air India,MAA,DEL,2026-04-20 13:29:41.701,2026-04-20 17:53:41.701,AI029,,True,2026-04-20 17:53:41.701,False,264.0,False,2026-04-20,MAA → DEL
SJ167,SpiceJet,MAA,CCU,2026-04-20 13:18:41.703,2026-04-20 14:12:41.703,SJ167,,True,2026-04-20 14:12:41.703,False,54.0,False,2026-04-20,MAA → CCU
UK017,Vistara,BLR,HYD,2026-04-20 13:14:41.701,2026-04-20 14:49:41.701,UK017,,True,2026-04-20 14:49:41.701,False,95.0,False,2026-04-20,BLR → HYD
SJ117,SpiceJet,MAA,BLR,2026-04-20 13:10:41.702,2026-04-20 17:06:41.702,SJ117,,True,2026-04-20 17:06:41.702,False,236.0,False,2026-04-20,MAA → BLR
AI031,Air India,DEL,MAA,2026-04-20 13:05:41.701,2026-04-20 16:11:41.701,AI031,,True,2026-04-20 16:11:41.701,False,186.0,False,2026-04-20,DEL → MAA
AI031,Air India,DEL,MAA,2026-04-20 13:05:41.701,2026-04-20 16:11:41.701,AI031,,True,2026-04-20 16:11:41.701,False,186.0,False,2026-04-20,DEL → MAA
AI178,Air India,CCU,BLR,2026-04-20 13:04:41.703,2026-04-20 14:03:41.703,AI178,,True,2026-04-20 14:03:41.703,False,59.0,False,2026-04-20,CCU → BLR
SJ089,SpiceJet,HYD,CCU,2026-04-20 12:42:41.702,2026-04-20 17:15:41.702,SJ089,,True,2026-04-20 17:15:41.702,False,273.0,False,2026-04-20,HYD → CCU
UK166,Vistara,HYD,MAA,2026-04-20 12:39:41.703,2026-04-20 17:32:41.703,UK166,,True,2026-04-20 17:32:41.703,False,293.0,False,2026-04-20,HYD → MAA
UK104,Vistara,DEL,BOM,2026-04-20 12:30:41.702,2026-04-20 13:52:41.702,UK104,,True,2026-04-20 13:52:41.702,False,82.0,False,2026-04-20,DEL → BOM
AI222,Unknown,BOM,DEL,2026-04-20 12:10:41.703,2026-04-20 13:14:41.703,AI222,,True,2026-04-20 13:14:41.703,False,64.0,False,2026-04-20,BOM → DEL
SJ025,SpiceJet,BOM,CCU,2026-04-20 12:02:41.701,2026-04-20 15:29:41.701,SJ025,,True,2026-04-20 15:29:41.701,False,207.0,False,2026-04-20,BOM → CCU
UK228,Vistara,DEL,MAA,2026-04-20 11:58:41.704,2026-04-20 15:08:41.704,UK228,,True,2026-04-20 15:08:41.704,False,190.0,False,2026-04-20,DEL → MAA
SJ218,SpiceJet,DEL,HYD,2026-04-20 11:58:41.703,2026-04-20 15:03:41.703,SJ218,,True,2026-04-20 15:03:41.703,False,185.0,False,2026-04-20,DEL → HYD
UK156,Vistara,MAA,BLR,2026-04-20 11:50:41.703,2026-04-20 15:54:41.703,UK156,,True,2026-04-20 15:54:41.703,False,244.0,False,2026-04-20,MAA → BLR
SJ074,SpiceJet,DEL,CCU,2026-04-20 11:21:41.701,2026-04-20 12:02:41.701,SJ074,,True,2026-04-20 12:02:41.701,False,41.0,False,2026-04-20,DEL → CCU
AI038,Air India,HYD,MAA,2026-04-20 11:05:41.701,2026-04-20 15:44:41.701,AI038,,True,2026-04-20 15:44:41.701,False,279.0,False,2026-04-20,HYD → MAA
AI079,Air India,CCU,BLR,2026-04-20 11:04:41.702,2026-04-20 13:19:41.702,AI079,,True,2026-04-20 13:19:41.702,False,135.0,False,2026-04-20,CCU → BLR
SJ018,SpiceJet,BOM,CCU,2026-04-20 10:58:41.701,2026-04-20 13:31:41.701,SJ018,,True,2026-04-20 13:31:41.701,False,153.0,False,2026-04-20,BOM → CCU
AI091,Air India,CCU,MAA,2026-04-20 10:52:41.702,2026-04-20 15:15:41.702,AI091,,True,2026-04-20 15:15:41.702,False,263.0,False,2026-04-20,CCU → MAA
UK071,Vistara,DEL,HYD,2026-04-20 10:50:41.701,2026-04-20 14:06:41.701,UK071,,True,2026-04-20 14:06:41.701,False,196.0,False,2026-04-20,DEL → HYD
AI019,Air India,BOM,CCU,2026-04-20 10:49:41.701,2026-04-20 11:51:41.701,AI019,,True,2026-04-20 11:51:41.701,False,62.0,False,2026-04-20,BOM → CCU
UK212,Vistara,HYD,MAA,2026-04-20 10:46:41.704,2026-04-20 11:31:41.704,UK212,,True,2026-04-20 11:31:41.704,False,45.0,False,2026-04-20,HYD → MAA
AI146,Air India,BLR,DEL,2026-04-20 10:40:41.702,2026-04-20 13:46:41.702,AI146,,True,2026-04-20 13:46:41.702,False,186.0,False,2026-04-20,BLR → DEL
AI129,Air India,BOM,CCU,2026-04-20 10:29:41.702,2026-04-20 13:38:41.702,AI129,,True,2026-04-20 13:38:41.702,False,189.0,False,2026-04-20,BOM → CCU
AI240,Air India,MAA,DEL,2026-04-20 10:19:41.704,2026-04-20 12:46:41.704,AI240,,True,2026-04-20 12:46:41.704,False,147.0,False,2026-04-20,MAA → DEL
UK133,Vistara,BOM,DEL,2026-04-20 10:04:41.702,2026-04-20 13:16:41.702,UK133,,True,2026-04-20 13:16:41.702,False,192.0,False,2026-04-20,BOM → DEL
SJ007,SpiceJet,BOM,CCU,2026-04-20 10:03:41.701,2026-04-20 14:53:41.701,SJ007,,True,2026-04-20 14:53:41.701,False,290.0,False,2026-04-20,BOM → CCU
SJ141,SpiceJet,CCU,DEL,2026-04-20 10:00:41.702,2026-04-20 13:37:41.702,SJ141,,True,2026-04-20 13:37:41.702,False,217.0,False,2026-04-20,CCU → DEL
SJ235,SpiceJet,BOM,DEL,2026-04-20 09:57:41.704,2026-04-20 13:45:41.704,SJ235,,True,2026-04-20 13:45:41.704,False,228.0,False,2026-04-20,BOM → DEL
UK087,Vistara,HYD,MAA,2026-04-20 09:49:41.702,2026-04-20 13:17:41.702,UK087,,True,2026-04-20 13:17:41.702,False,208.0,False,2026-04-20,HYD → MAA
UK170,Vistara,BOM,BLR,2026-04-20 09:42:41.703,2026-04-20 11:32:41.703,UK170,,True,2026-04-20 11:32:41.703,False,110.0,False,2026-04-20,BOM → BLR
SJ078,SpiceJet,DEL,HYD,2026-04-20 09:41:41.701,2026-04-20 12:49:41.701,SJ078,,True,2026-04-20 12:49:41.701,False,188.0,False,2026-04-20,DEL → HYD
SJ075,SpiceJet,MAA,BLR,2026-04-20 09:26:41.701,2026-04-20 11:03:41.701,SJ075,,True,2026-04-20 11:03:41.701,False,97.0,False,2026-04-20,MAA → BLR
AI159,Air India,HYD,BLR,2026-04-20 09:23:41.703,2026-04-20 11:36:41.703,AI159,,True,2026-04-20 11:36:41.703,False,133.0,False,2026-04-20,HYD → BLR
UK120,Vistara,HYD,DEL,2026-04-20 09:19:41.702,2026-04-20 13:30:41.702,UK120,,True,2026-04-20 13:30:41.702,False,251.0,False,2026-04-20,HYD → DEL
AI059,Air India,CCU,DEL,2026-04-20 09:16:41.701,2026-04-20 11:43:41.701,AI059,,True,2026-04-20 11:43:41.701,False,147.0,False,2026-04-20,CCU → DEL
UK040,Vistara,HYD,CCU,2026-04-20 09:15:41.701,2026-04-20 10:32:41.701,UK040,,True,2026-04-20 10:32:41.701,False,77.0,False,2026-04-20,HYD → CCU
AI044,Unknown,MAA,BLR,2026-04-20 09:03:41.701,2026-04-20 12:36:41.701,AI044,,True,2026-04-20 12:36:41.701,False,213.0,False,2026-04-20,MAA → BLR
AI078,Air India,DEL,BOM,2026-04-20 08:58:41.702,2026-04-20 13:28:41.702,AI078,,True,2026-04-20 13:28:41.702,False,270.0,False,2026-04-20,DEL → BOM
SJ226,SpiceJet,HYD,BOM,2026-04-20 08:47:41.704,2026-04-20 12:54:41.704,SJ226,,True,2026-04-20 12:54:41.704,False,247.0,False,2026-04-20,HYD → BOM
UK193,Vistara,HYD,DEL,2026-04-20 08:39:41.703,2026-04-20 09:14:41.703,UK193,,True,2026-04-20 09:14:41.703,False,35.0,False,2026-04-20,HYD → DEL
AI208,Air India,BLR,BOM,2026-04-20 08:38:41.703,2026-04-20 11:52:41.703,AI208,,True,2026-04-20 11:52:41.703,False,194.0,False,2026-04-20,BLR → BOM
SJ227,SpiceJet,BOM,CCU,2026-04-20 08:32:41.704,2026-04-20 12:53:41.704,SJ227,,True,2026-04-20 12:53:41.704,False,261.0,False,2026-04-20,BOM → CCU
AI084,Air India,BOM,HYD,2026-04-20 08:31:41.702,2026-04-20 09:46:41.702,AI084,,True,2026-04-20 09:46:41.702,False,75.0,False,2026-04-20,BOM → HYD
SJ228,SpiceJet,BOM,CCU,2026-04-20 08:29:41.704,2026-04-20 12:16:41.704,SJ228,,True,2026-04-20 12:16:41.704,False,227.0,False,2026-04-20,BOM → CCU
UK194,Vistara,CCU,BOM,2026-04-20 08:26:41.703,2026-04-20 09:26:42.000,UK194,,True,2026-04-20 09:26:42.000,False,60.00495,False,2026-04-20,CCU → BOM
SJ052,SpiceJet,MAA,BLR,2026-04-20 08:20:41.701,2026-04-20 09:57:41.701,SJ052,,True,2026-04-20 09:57:41.701,False,97.0,False,2026-04-20,MAA → BLR
AI233,Air India,BLR,BOM,2026-04-20 08:04:41.704,2026-04-20 09:52:41.704,AI233,,True,2026-04-20 09:52:41.704,False,108.0,False,2026-04-20,BLR → BOM
AI213,Air India,HYD,CCU,2026-04-20 08:03:41.703,2026-04-20 09:14:41.703,AI213,,True,2026-04-20 09:14:41.703,False,71.0,False,2026-04-20,HYD → CCU
UK076,Vistara,MAA,CCU,2026-04-20 08:03:41.702,2026-04-20 12:26:41.702,UK076,,True,2026-04-20 12:26:41.702,False,263.0,False,2026-04-20,MAA → CCU
